"Table 18.  Energy-Related Carbon Dioxide Emissions by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=17-AEO2020&cases=ref2020&sourcekey=0"
"Thu Nov 05 2020 11:08:34 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Total Commercial,"Carbon Dioxide: Commercial: Total": Reference case,17-AEO2020.13.ref2020-d112119a,"MMmt CO2",825.989502,791.701294,784.989441,766.658813,740.443481,731.22821,711.942627,721.707947,717.127808,714.585266,711.698547,705.435974,705.477112,708.215576,714.29834,718.026489,715.225464,714.972412,716.596313,716.192566,716.526611,718.374268,718.546143,718.600342,719.248413,719.743774,719.462219,723.489319,727.006958,732.020386,736.452271,742.172119,"-0.3%"
Industrial,,17-AEO2020.15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Industrial: Petroleum": Reference case,17-AEO2020.16.ref2020-d112119a,"MMmt CO2",373.193573,361.884827,366.689667,372.843323,374.49704,373.358734,377.892548,384.361084,384.041473,392.410065,395.89267,400.642365,403.170959,405.88208,405.472961,411.184937,413.948822,414.803619,417.196259,419.921448,422.307739,421.753204,424.452606,427.742981,430.383789,433.656921,438.204071,441.12973,444.704529,448.5625,451.668549,456.812531,"0.7%"
Natural Gas,"Carbon Dioxide: Industrial: Natural Gas": Reference case,17-AEO2020.17.ref2020-d112119a,"MMmt CO2",544.489014,566.838867,582.712524,599.231445,611.430908,624.204773,633.972351,638.311951,639.69043,643.039185,647.789124,647.148682,652.051331,657.808594,660.070496,666.807495,672.25116,675.789307,683.784729,688.709717,694.129211,702.900085,709.833252,716.396057,722.81073,729.794312,736.928955,743.023193,752.524902,760.693298,768.808167,773.150269,"1.1%"
Coal,"Carbon Dioxide: Industrial: Coal": Reference case,17-AEO2020.18.ref2020-d112119a,"MMmt CO2",109.425446,104.083832,100.203194,99.190323,101.152054,100.879814,100.808472,100.963356,100.370239,99.789841,99.142738,98.640671,97.876938,97.336372,96.999084,96.493095,95.704926,95.607765,95.448639,95.330208,95.123589,94.979813,94.659866,94.560188,94.197205,94.029205,93.84507,93.624138,93.267471,93.079041,92.681984,92.326256,"-0.5%"
Electricity,"Carbon Dioxide: Industrial: Electricity": Reference case,17-AEO2020.19.ref2020-d112119a,"MMmt CO2",429.873871,400.621216,390.023071,380.154663,365.858643,362.05069,351.846436,366.138489,363.494263,363.375977,362.663422,361.690857,362.0755,363.33078,367.439911,369.304932,367.119263,365.443787,365.004852,362.493042,360.987122,361.61676,360.68692,359.263428,358.364288,356.360596,353.821777,354.961945,354.601013,354.631561,353.982758,353.623566,"-0.6%"
Total Industrial,"Carbon Dioxide: Industrial: Total": Reference case,17-AEO2020.20.ref2020-d112119a,"MMmt CO2",1456.981934,1433.428711,1439.62854,1451.4198,1452.938721,1460.493896,1464.519775,1489.774902,1487.596436,1498.61499,1505.487915,1508.122559,1515.174805,1524.35791,1529.982422,1543.790405,1549.02417,1551.644531,1561.434448,1566.454346,1572.547607,1581.25,1589.63269,1597.962646,1605.756104,1613.840942,1622.799927,1632.739014,1645.0979,1656.966553,1667.141479,1675.912598,"0.5%"
Transportation,,17-AEO2020.22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Transportation: Petroleum": Reference case,17-AEO2020.23.ref2020-d112119a,"MMmt CO2",1843.654297,1821.848022,1797.896973,1781.949219,1767.19043,1742.319824,1716.779175,1694.489014,1676.546265,1655.56665,1641.462036,1633.549683,1623.380127,1613.329712,1603.587524,1595.63269,1587.857056,1577.633789,1573.026489,1568.501709,1566.207764,1566.961792,1570.523682,1571.183838,1575.714966,1579.499146,1586.386597,1592.248657,1599.292114,1607.019165,1615.413086,1624.334106,"-0.4%"
Natural Gas,"Carbon Dioxide: Transportation: Natural Gas": Reference case,17-AEO2020.24.ref2020-d112119a,"MMmt CO2",41.031132,40.179428,43.20488,43.736961,43.439877,44.119637,44.650784,45.245911,45.296791,46.004005,46.781136,46.415085,47.206005,48.013325,48.846073,49.902061,50.838852,52.326149,53.469521,54.558475,55.780876,57.06369,58.064716,59.768608,61.06694,62.547939,63.626518,65.281563,66.663017,68.380638,70.001923,71.749321,"1.8%"
Electricity,"Carbon Dioxide: Transportation: Electricity": Reference case,17-AEO2020.25.ref2020-d112119a,"MMmt CO2",4.987694,5.481829,6.316296,6.963373,7.363069,8.112564,8.472651,9.417547,10.150584,10.954543,11.68,12.384351,13.272254,14.328759,15.572065,16.803043,17.705004,18.74617,19.877092,20.932344,21.993855,23.152464,24.185926,25.13747,26.102852,27.043413,27.884754,28.931982,29.967173,31.045416,32.047985,33.130348,"6.3%"
Total Transportation,"Carbon Dioxide: Transportation: Total": Reference case,17-AEO2020.26.ref2020-d112119a,"MMmt CO2",1889.673096,1867.509277,1847.418091,1832.649536,1817.993286,1794.552002,1769.902588,1749.152466,1731.993652,1712.525269,1699.923218,1692.349121,1683.858398,1675.671753,1668.005615,1662.337891,1656.400879,1648.706177,1646.373047,1643.992554,1643.982544,1647.177979,1652.774292,1656.089844,1662.884766,1669.090576,1677.897827,1686.46228,1695.922241,1706.44519,1717.463013,1729.213745,"-0.3%"
Electric Power,,17-AEO2020.28.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Electric Power: Petroleum": Reference case,17-AEO2020.29.ref2020-d112119a,"MMmt CO2",13.690242,13.075543,9.906658,9.674853,9.354651,9.168617,8.659257,8.132428,7.703791,7.335411,7.196897,7.056389,6.826074,6.777552,6.711899,6.664438,6.60673,6.51802,6.413677,6.121001,6.026304,5.949978,5.70334,5.45015,5.18079,4.934214,4.688409,4.715549,4.725731,4.744913,4.758154,4.788862,"-3.3%"
Natural Gas,"Carbon Dioxide: Electric Power: Natural Gas": Reference case,17-AEO2020.30.ref2020-d112119a,"MMmt CO2",624.731506,615.962097,643.542236,621.782227,609.013794,594.834961,590.626831,587.494141,578.285339,574.923706,571.052368,559.116638,563.631653,570.86084,581.41626,598.411865,600.504211,604.731506,610.154602,616.185974,620.934326,627.828979,630.442871,632.264343,635.04303,633.375671,633.045776,635.216675,641.811951,651.637024,661.385254,668.338684,"0.2%"
Coal,"Carbon Dioxide: Electric Power: Coal": Reference case,17-AEO2020.31.ref2020-d112119a,"MMmt CO2",966.817139,875.230164,822.86084,790.479004,732.591919,721.173767,675.220703,714.838318,713.395996,711.600647,708.958313,707.029236,702.72821,701.571411,707.910339,701.496887,692.55072,686.702698,684.563782,675.601685,670.10791,667.771973,664.628052,661.761108,659.277405,659.311646,655.762939,662.321777,661.750427,661.121033,658.414978,661.154114,"-1.2%"
Other,"Carbon Dioxide: Electric Power: Other": Reference case,17-AEO2020.32.ref2020-d112119a,"MMmt CO2",11.108359,11.106688,11.120236,11.115439,11.142651,11.167336,11.192036,11.227771,11.262237,11.29769,11.330376,11.366432,11.408612,11.454185,11.493205,11.528137,11.577517,11.624547,11.676831,11.722351,11.766176,11.7927,11.821251,11.851504,11.879114,11.905789,11.930136,11.953967,11.977025,12.001431,12.016996,12.026606,"0.3%"
Total Electric Power,"Carbon Dioxide: Electric Power: Total": Reference case,17-AEO2020.33.ref2020-d112119a,"MMmt CO2",1616.34729,1515.374512,1487.430054,1433.051514,1362.103149,1336.344727,1285.698853,1321.692627,1310.647339,1305.157471,1298.537842,1284.568726,1284.594482,1290.66394,1307.531738,1318.101318,1311.239136,1309.57666,1312.80896,1309.631104,1308.834839,1313.343628,1312.595581,1311.327148,1311.380371,1309.527344,1305.427246,1314.208008,1320.265137,1329.504395,1336.575317,1346.30835,"-0.6%"
Total by Fuel,,17-AEO2020.35.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,"Carbon Dioxide: Total by Fuel: Petroleum": Reference case,17-AEO2020.36.ref2020-d112119a,"MMmt CO2",2353.739746,2318.062012,2293.672852,2282.656982,2268.086182,2240.769775,2218.195557,2200.745361,2181.049805,2167.101807,2155.470703,2151.353027,2142.746582,2134.677979,2123.76123,2120.803955,2115.0979,2105.020752,2102.122803,2099.46582,2098.901367,2098.540771,2104.084717,2107.262695,2113.674561,2120.025391,2130.746338,2139.154297,2149.365479,2160.552002,2171.677002,2185.412842,"-0.2%"
Natural Gas,"Carbon Dioxide: Total by Fuel: Natural Gas": Reference case,17-AEO2020.37.ref2020-d112119a,"MMmt CO2",1680.340332,1683.153809,1728.088135,1723.801147,1722.500488,1721.168945,1725.928467,1726.119385,1716.885986,1716.574463,1717.8125,1704.325928,1714.58252,1728.576782,1742.178711,1766.785156,1775.349609,1785.002197,1799.753418,1811.948975,1823.473267,1840.740601,1851.630371,1862.036133,1872.885742,1880.144287,1888.441406,1898.744385,1916.55957,1936.672607,1956.546143,1969.947998,"0.5%"
Coal,"Carbon Dioxide: Total by Fuel: Coal": Reference case,17-AEO2020.38.ref2020-d112119a,"MMmt CO2",1077.824219,980.583923,924.330444,890.936829,835.004089,823.278381,777.238464,817.015076,814.95813,812.581177,809.295837,806.86322,801.795898,800.087219,806.089111,799.15802,789.431213,783.491211,781.179443,772.110657,766.401978,763.937683,760.458191,757.474976,754.595581,754.455322,750.709229,757.041748,756.103943,755.279053,752.166565,754.540039,"-1.1%"
Other,"Carbon Dioxide: Total by Fuel: Other": Reference case,17-AEO2020.39.ref2020-d112119a,"MMmt CO2",11.108359,11.106688,11.120236,11.115439,11.142651,11.167336,11.192036,11.227771,11.262237,11.29769,11.330376,11.366432,11.408612,11.454185,11.493205,11.528137,11.577517,11.624547,11.676831,11.722351,11.766176,11.7927,11.821251,11.851504,11.879114,11.905789,11.930136,11.953967,11.977025,12.001431,12.016996,12.026606,"0.3%"
Total,"Carbon Dioxide: Total by Fuel: Total": Reference case,17-AEO2020.40.ref2020-d112119a,"MMmt CO2",5123.012695,4992.90625,4957.211426,4908.510254,4836.733398,4796.384766,4732.554199,4755.107422,4724.15625,4707.555176,4693.909668,4673.908203,4670.533691,4674.796387,4683.522461,4698.275391,4691.456543,4685.138672,4694.732422,4695.247559,4700.54248,4715.01123,4727.994629,4738.625488,4753.034668,4766.530762,4781.827148,4806.894531,4834.005859,4864.505371,4892.406738,4921.927246,"-0.1%"
Carbon Dioxide Emissions,,17-AEO2020.42.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(tons carbon dioxide per person),"Carbon Dioxide: Per-Capita Carbon Dioxide Emissions": Reference case,17-AEO2020.43.ref2020-d112119a,"MMmtCO2/capita",15.477969,14.978598,14.767959,14.522399,14.213275,14.001042,13.724566,13.701559,13.526914,13.396681,13.277447,13.143277,13.059273,12.999165,12.953755,12.927071,12.843217,12.763095,12.728334,12.670768,12.627839,12.611005,12.591421,12.56671,12.552997,12.537653,12.527648,12.543584,12.564969,12.595081,12.618256,12.645704,"-0.6%"
