"Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2015&sourcekey=0"
"Mon Nov 23 2020 07:53:49 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2013-2040)"
Residual Fuel Oil,"Energy Use: Industrial: Residual Fuel Oil": Reference case,2-AEO2015.33.ref2015-d021915a,"quads",0.069973,0.0597,0.0471,0.0384,0.0372,0.052013,0.073247,0.086358,0.10061,0.111426,0.121112,0.126528,0.131182,0.135853,0.140639,0.137782,0.134357,0.1319,0.129356,0.129252,0.128542,0.127819,0.127445,0.126748,0.126488,0.126403,0.126782,0.127121,0.127648,"2.9%"
Petrochemical Feedstocks,"Energy Use: Industrial: Petrochemical Feedstocks": Reference case,2-AEO2015.34.ref2015-d021915a,"quads",0.74116,0.7419,0.6989,0.7342,0.7258,0.789403,0.85957,0.909782,0.94704,0.977227,1.015061,1.050818,1.074749,1.09873,1.121634,1.128727,1.133878,1.140631,1.14387,1.148272,1.155898,1.156431,1.16157,1.165465,1.166742,1.175561,1.184961,1.191543,1.202839,"1.8%"
Other Petroleum,"Energy Use: Industrial: Other Petroleum": Reference case,2-AEO2015.35.ref2015-d021915a,"quads",3.325483,3.524927,3.456327,3.489427,3.523827,3.522963,3.576791,3.616859,3.66824,3.715497,3.738814,3.763352,3.780121,3.800893,3.824012,3.825173,3.819226,3.816249,3.825638,3.841893,3.836312,3.854223,3.87474,3.893017,3.911873,3.931012,3.9495,3.967937,3.989606,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Industrial: Liquid Fuels Subtotal": Reference case,2-AEO2015.36.ref2015-d021915a,"quads",8.078466,8.396627,8.229027,8.379128,8.591928,8.847915,9.165236,9.410817,9.605235,9.739566,9.888245,10.034767,10.146027,10.240606,10.311874,10.355479,10.397372,10.419311,10.439116,10.450835,10.435914,10.439137,10.453382,10.4666,10.479822,10.529696,10.582064,10.589656,10.589786,"0.9%"
Natural Gas,"Energy Use: Industrial: Natural Gas": Reference case,2-AEO2015.37.ref2015-d021915a,"quads",7.387471,7.621399,7.9634,8.127015,8.344014,8.302911,8.317267,8.334724,8.331304,8.322224,8.350903,8.398643,8.44324,8.465793,8.473529,8.523368,8.579465,8.615503,8.646179,8.671837,8.703544,8.71837,8.732186,8.759883,8.789686,8.815831,8.855612,8.88686,8.899482,"0.6%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Industrial: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2015.38.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Industrial: Lease and Plant Fuel": Reference case,2-AEO2015.39.ref2015-d021915a,"quads",1.430109,1.520729,1.713013,1.773888,1.820639,1.755648,1.718609,1.791696,1.872414,1.914635,1.939226,1.950975,1.963045,1.976801,1.987767,2.014965,2.043628,2.07192,2.101407,2.112984,2.123701,2.140161,2.157629,2.176452,2.195717,2.216999,2.241991,2.265471,2.287656,"1.5%"
Natural Gas Subtotal,"Energy Use: Industrial: Natural Gas Subtotal": Reference case,2-AEO2015.40.ref2015-d021915a,"quads",8.81758,9.142129,9.676414,9.900903,10.164654,10.058559,10.035876,10.126421,10.203717,10.236858,10.290129,10.349619,10.406285,10.442594,10.461296,10.538332,10.623093,10.687424,10.747586,10.784821,10.827245,10.858531,10.889815,10.936335,10.985403,11.03283,11.097603,11.15233,11.187138,"0.8%"
Metallurgical Coal,"Energy Use: Industrial: Metallurgical Coal": Reference case,2-AEO2015.41.ref2015-d021915a,"quads",0.59416,0.6164,0.5886,0.6081,0.6445,0.628838,0.61915,0.614639,0.607942,0.600784,0.596533,0.59455,0.592868,0.589394,0.582866,0.577856,0.570947,0.563752,0.556749,0.550555,0.545211,0.540966,0.53565,0.529718,0.523492,0.515653,0.513707,0.51136,0.507525,"-0.7%"
Other Industrial Coal,"Energy Use: Industrial: Other Industrial Coal": Reference case,2-AEO2015.42.ref2015-d021915a,"quads",0.867798,0.882894,0.883343,0.859887,0.876902,0.894999,0.910579,0.920003,0.930538,0.936089,0.940936,0.94505,0.948516,0.950908,0.953762,0.954565,0.954446,0.954434,0.955898,0.95721,0.954927,0.956385,0.960259,0.965797,0.971323,0.975847,0.982112,0.987553,0.993454,"0.4%"
Coal-to-Liquids Heat and Power,"Energy Use: Industrial: Coal-to-Liquids Heat and Power": Reference case,2-AEO2015.43.ref2015-d021915a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Industrial: Net Coal Coke Imports": Reference case,2-AEO2015.44.ref2015-d021915a,"quads",0.00398,-0.0174,-0.0118,0.0253,0.0321,0.008155,0.006453,0.004486,0.002221,-0.000157,-0.002612,-0.005344,-0.008253,-0.011435,-0.01488,-0.018507,-0.022265,-0.026095,-0.030013,-0.034024,-0.038177,-0.042531,-0.04702,-0.051637,-0.056354,-0.061078,-0.060389,-0.058716,-0.056874,"4.5%"
Coal Subtotal,"Energy Use: Industrial: Coal Subtotal": Reference case,2-AEO2015.45.ref2015-d021915a,"quads",1.465938,1.481894,1.460143,1.493287,1.553502,1.531992,1.536181,1.539129,1.540701,1.536716,1.534857,1.534256,1.533131,1.528867,1.521749,1.513913,1.503128,1.492091,1.482635,1.473741,1.461961,1.45482,1.448889,1.443878,1.43846,1.430422,1.43543,1.440197,1.444105,"-0.1%"
Biofuels Heat and Coproducts,"Energy Use: Industrial: Biofuels Heat and Coproducts": Reference case,2-AEO2015.46.ref2015-d021915a,"quads",0.731404,0.723312,0.638225,0.747816,0.751296,0.801621,0.801219,0.803837,0.80246,0.792937,0.798624,0.797555,0.798945,0.797648,0.79645,0.79709,0.802661,0.801695,0.800843,0.80554,0.806172,0.806172,0.806172,0.811713,0.820274,0.820275,0.830169,0.846294,0.861086,"0.6%"
Renewable Energy,"Energy Use: Industrial: Renewable Energy": Reference case,2-AEO2015.47.ref2015-d021915a,"quads",1.510393,1.479983,1.458616,1.395011,1.415352,1.44661,1.479447,1.503488,1.529985,1.550881,1.567581,1.576434,1.583268,1.595955,1.60646,1.605975,1.598796,1.592878,1.590726,1.586855,1.57637,1.57391,1.576034,1.580922,1.586365,1.593088,1.603607,1.613942,1.626989,"0.4%"
Electricity,"Energy Use: Industrial: Electricity": Reference case,2-AEO2015.48.ref2015-d021915a,"quads",3.36482,3.2575,3.272101,3.310601,3.4032,3.483817,3.601774,3.678854,3.738584,3.784738,3.844496,3.89104,3.938548,3.976931,4.006737,4.019557,4.028638,4.033449,4.036972,4.037993,4.030898,4.034232,4.042603,4.054285,4.069336,4.081416,4.096042,4.105768,4.115507,"0.9%"
Delivered Energy,"Energy Use: Industrial: Delivered Energy": Reference case,2-AEO2015.49.ref2015-d021915a,"quads",23.968599,24.481449,24.734524,25.226742,25.87993,26.170513,26.619732,27.062546,27.420683,27.641697,27.923933,28.183674,28.406204,28.582602,28.704567,28.830345,28.953691,29.026848,29.097874,29.139788,29.138557,29.166803,29.216894,29.293732,29.37966,29.48773,29.644917,29.748192,29.824612,"0.7%"
Electricity Related Losses,"Energy Use: Industrial: Electricity Related Losses": Reference case,2-AEO2015.50.ref2015-d021915a,"quads",6.86836,6.716713,6.728594,6.756502,6.889381,6.970667,7.182912,7.363429,7.507424,7.586765,7.683257,7.763667,7.841927,7.882149,7.915489,7.918469,7.904642,7.888532,7.879954,7.859498,7.83287,7.825064,7.825698,7.828214,7.837893,7.842723,7.85664,7.85562,7.853073,"0.6%"
Total,"Energy Use: Industrial: Total": Reference case,2-AEO2015.51.ref2015-d021915a,"quads",30.83696,31.198162,31.463118,31.983244,32.76931,33.141182,33.802643,34.425976,34.928108,35.228462,35.607189,35.947342,36.248131,36.464752,36.620056,36.748814,36.858334,36.915379,36.977829,36.999287,36.971428,36.991867,37.042591,37.121944,37.217552,37.330452,37.501556,37.603813,37.677685,"0.7%"
Transportation,,2-AEO2015.54.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Transportation: Propane": Reference case,2-AEO2015.55.ref2015-d021915a,"quads",0.049938,0.048119,0.045615,0.041263,0.042289,0.042647,0.042875,0.042968,0.043445,0.044067,0.044899,0.045618,0.046439,0.047345,0.048363,0.04964,0.050847,0.052057,0.053282,0.054575,0.05591,0.057401,0.058897,0.060506,0.062027,0.063394,0.06504,0.066723,0.068318,"1.3%"
Motor Gasoline,"Energy Use: Transportation: Motor Gasoline": Reference case,2-AEO2015.56.ref2015-d021915a,"quads",15.818271,15.935486,15.759401,15.901612,15.870272,15.796729,15.689758,15.525629,15.35309,15.163496,14.953764,14.724279,14.481093,14.219542,13.984116,13.778717,13.600458,13.441936,13.301734,13.181262,13.07483,12.98053,12.89646,12.817333,12.747492,12.687506,12.637021,12.592017,12.551834,"-0.9%"
of which:  E85,"Energy Use: Transportation: E85": Reference case,2-AEO2015.57.ref2015-d021915a,"quads",0.01171,0.02172,0.026239,0.032664,0.0352,0.020884,0.020741,0.025917,0.028106,0.037193,0.061388,0.076376,0.095147,0.121659,0.144554,0.162956,0.177092,0.187721,0.195366,0.212589,0.21646,0.227845,0.233923,0.240971,0.251394,0.258436,0.261895,0.275541,0.281606,"10.0%"
Jet Fuel,"Energy Use: Transportation: Jet Fuel": Reference case,2-AEO2015.58.ref2015-d021915a,"quads",2.863325,2.798346,2.832524,2.854602,2.871209,2.907305,2.941622,2.975925,3.01187,3.040287,3.073591,3.113232,3.153769,3.197951,3.241956,3.286577,3.328671,3.366206,3.40017,3.431583,3.462214,3.491461,3.51901,3.544918,3.568927,3.58956,3.608644,3.625866,3.641449,"1.0%"
Distillate Fuel Oil,"Energy Use: Transportation: Distillate Fuel Oil": Reference case,2-AEO2015.59.ref2015-d021915a,"quads",5.79603,6.495889,6.606077,6.945306,7.026039,7.116498,7.214167,7.291888,7.352858,7.383533,7.427248,7.477626,7.5368,7.585374,7.616964,7.651608,7.683566,7.716838,7.75999,7.789297,7.804496,7.837536,7.884943,7.935449,7.976445,7.98684,7.996325,7.983016,7.968629,"0.8%"
Residual Fuel Oil,"Energy Use: Transportation: Residual Fuel Oil": Reference case,2-AEO2015.60.ref2015-d021915a,"quads",0.67052,0.566697,0.435058,0.366956,0.354418,0.35369,0.353132,0.353503,0.353887,0.354255,0.354639,0.355036,0.355455,0.355944,0.356443,0.356915,0.357386,0.357854,0.358329,0.358818,0.359312,0.359824,0.360348,0.360875,0.361411,0.361945,0.362475,0.363009,0.363557,"-1.6%"
Other Petroleum,"Energy Use: Transportation: Other Petroleum": Reference case,2-AEO2015.61.ref2015-d021915a,"quads",0.148353,0.152065,0.154701,0.15668,0.158196,0.159075,0.159415,0.159502,0.159464,0.159327,0.159221,0.159114,0.15917,0.159395,0.159677,0.160008,0.160276,0.16047,0.160533,0.160484,0.160412,0.160371,0.160423,0.160551,0.160745,0.160959,0.161181,0.161385,0.161575,"0.2%"
Petroleum and Other Liquids Subtotal,"Energy Use: Transportation: Liquid Fuels Subtotal": Reference case,2-AEO2015.62.ref2015-d021915a,"quads",25.346439,25.996601,25.833374,26.26642,26.32242,26.37594,26.40097,26.349415,26.274614,26.144966,26.013361,25.874905,25.732729,25.565554,25.40752,25.283468,25.181202,25.095362,25.034035,24.976021,24.917171,24.887121,24.880083,24.879631,24.877045,24.850203,24.830685,24.792017,24.75536,"-0.2%"
Pipeline Fuel Natural Gas,"Energy Use: Transportation: Pipeline Fuel Natural Gas": Reference case,2-AEO2015.63.ref2015-d021915a,"quads",0.745639,0.884846,0.873436,0.778914,0.910862,0.86227,0.830886,0.842667,0.851862,0.858575,0.868307,0.877718,0.887508,0.895363,0.901114,0.912694,0.922584,0.932208,0.937631,0.936533,0.937186,0.938242,0.938402,0.940986,0.945572,0.949175,0.953097,0.956549,0.957227,"0.3%"
Compressed / Liquefied Natural Gas,"Energy Use: Transportation: Natural Gas": Reference case,2-AEO2015.64.ref2015-d021915a,"quads",0.039308,0.050554,0.055144,0.056837,0.058264,0.059522,0.061111,0.063078,0.065475,0.068765,0.073901,0.080843,0.089589,0.099831,0.111536,0.124482,0.137303,0.151045,0.168042,0.185578,0.209739,0.23757,0.27151,0.312232,0.359677,0.434816,0.521849,0.615108,0.712121,"10.3%"
Liquid Hydrogen,"Energy Use: Transportation: Liquid Hydrogen": Reference case,2-AEO2015.65.ref2015-d021915a,"quads",0,0,0,0.000151,0.000303,0.000424,0.000688,0.000932,0.00116,0.00139,0.0016,0.001794,0.002015,0.00222,0.002416,0.002616,0.002807,0.002988,0.003161,0.003325,0.00348,0.003626,0.003764,0.003894,0.00402,0.004144,0.004267,0.004392,0.004526,"- -"
Electricity,"Energy Use: Transportation: Electricity": Reference case,2-AEO2015.66.ref2015-d021915a,"quads",0.023862,0.024684,0.02594,0.027122,0.027947,0.028919,0.029851,0.030649,0.031364,0.031993,0.032668,0.033401,0.034179,0.035072,0.036133,0.037352,0.038763,0.040297,0.041912,0.043669,0.04549,0.047404,0.049285,0.051143,0.053061,0.055003,0.056938,0.058853,0.060736,"3.4%"
Delivered Energy,"Energy Use: Transportation: Delivered Energy": Reference case,2-AEO2015.67.ref2015-d021915a,"quads",26.155249,26.956684,26.787893,27.129444,27.319796,27.327076,27.323505,27.286741,27.224476,27.10569,26.989838,26.86866,26.746019,26.598038,26.458719,26.360613,26.28266,26.221901,26.184782,26.145124,26.113066,26.113962,26.143044,26.187883,26.239374,26.293341,26.366835,26.42692,26.489969,"-0.1%"
Electricity Related Losses,"Energy Use: Transportation: Electricity Related Losses": Reference case,2-AEO2015.68.ref2015-d021915a,"quads",0.048708,0.050896,0.053342,0.055353,0.056575,0.057863,0.059531,0.061345,0.062981,0.064132,0.065287,0.066643,0.068052,0.069511,0.071382,0.073583,0.076058,0.078811,0.08181,0.084996,0.088396,0.091947,0.095406,0.09875,0.102201,0.105692,0.109212,0.112605,0.115895,"3.1%"
Total,"Energy Use: Transportation: Total": Reference case,2-AEO2015.69.ref2015-d021915a,"quads",26.203957,27.00758,26.841234,27.184797,27.376371,27.384939,27.383036,27.348087,27.287457,27.169821,27.055124,26.935303,26.814072,26.667549,26.530102,26.434195,26.358717,26.300713,26.266592,26.23012,26.201462,26.20591,26.238449,26.286633,26.341576,26.399033,26.476048,26.539524,26.605864,"-0.1%"
Unspecified Sector,,2-AEO2015.71.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"Energy Use: Unspecified: Total": Reference case,2-AEO2015.75.ref2015-d021915a,"quads",0.038105,-0.270767,0.087267,-0.313193,-0.224102,-0.275515,-0.327806,-0.334045,-0.338745,-0.341421,-0.345254,-0.349381,-0.354383,-0.358444,-0.360759,-0.363013,-0.364917,-0.367018,-0.370032,-0.371887,-0.372306,-0.374353,-0.377644,-0.381276,-0.384131,-0.384366,-0.384504,-0.382773,-0.380942,"1.3%"
Delivered Energy Consumption, All Sectors,,2-AEO2015.77.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Delivered: All Sectors: Liquefied Petroleum Gases": Reference case,2-AEO2015.78.ref2015-d021915a,"quads",3.008938,3.135173,3.045958,3.054077,3.185236,3.349535,3.514442,3.645797,3.731968,3.785135,3.872859,3.957353,4.026658,4.07637,4.104188,4.144032,4.193592,4.217194,4.226741,4.223664,4.215549,4.205799,4.195612,4.185733,4.179289,4.200031,4.221596,4.204772,4.168394,"1.1%"
Motor Gasoline,"Energy Use: Delivered: All Sectors: Motor Gasoline": Reference case,2-AEO2015.79.ref2015-d021915a,"quads",16.100891,16.364391,16.454494,16.417084,16.385078,16.272038,16.125402,15.963247,15.791592,15.601559,15.390592,15.15896,14.913638,14.649193,14.410162,14.201927,14.021591,13.861078,13.719128,13.595837,13.487131,13.390904,13.305645,13.225862,13.155115,13.094773,13.044137,12.998426,12.95832,"-0.9%"
