"Table 2.  Energy Consumption by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=2-AEO2020&sourcekey=0"
"Thu Nov 05 2020 11:07:22 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2019-2050)"
Commercial,,2-AEO2020.14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Commercial: Propane": Reference case,2-AEO2020.15.ref2020-d112119a,"quads",0.16333,0.166128,0.167799,0.169191,0.170634,0.172036,0.173314,0.174649,0.176235,0.177949,0.179769,0.181603,0.183531,0.185422,0.187181,0.188944,0.190658,0.192319,0.19394,0.195563,0.197204,0.198891,0.200597,0.202242,0.203944,0.205653,0.207373,0.209109,0.210816,0.212528,0.214288,0.216047,"0.9%"
Motor Gasoline,"Energy Use: Commercial: Motor Gasoline": Reference case,2-AEO2020.16.ref2020-d112119a,"quads",0.3596,0.362439,0.365094,0.367725,0.368236,0.368873,0.369141,0.369533,0.369872,0.370328,0.370674,0.37076,0.371197,0.371606,0.371885,0.372175,0.372551,0.372883,0.373351,0.373687,0.373998,0.374452,0.37486,0.375141,0.375534,0.375934,0.376259,0.376737,0.377002,0.37735,0.377749,0.378169,"0.2%"
Kerosene,"Energy Use: Commercial: Kerosene": Reference case,2-AEO2020.17.ref2020-d112119a,"quads",0.00145,0.001531,0.001611,0.001416,0.001398,0.001335,0.001324,0.001256,0.001251,0.001183,0.001152,0.001081,0.001034,0.001012,0.000958,0.000922,0.000889,0.000861,0.000836,0.000815,0.000785,0.000776,0.000749,0.000712,0.000691,0.000669,0.000629,0.000624,0.000585,0.000554,0.000533,0.000524,"-3.2%"
Distillate Fuel Oil,"Energy Use: Commercial: Distillate Fuel Oil": Reference case,2-AEO2020.18.ref2020-d112119a,"quads",0.33718,0.337788,0.334531,0.333799,0.334237,0.334295,0.334658,0.333217,0.331311,0.328684,0.326228,0.323488,0.320868,0.318557,0.316096,0.313793,0.311577,0.309454,0.307491,0.30558,0.303625,0.302028,0.300406,0.298432,0.296528,0.294807,0.292919,0.291399,0.289842,0.288225,0.286702,0.285342,"-0.5%"
Residual Fuel Oil,"Energy Use: Commercial: Residual Fuel Oil": Reference case,2-AEO2020.19.ref2020-d112119a,"quads",0.0022,0.008866,0.007362,0.007302,0.006175,0.005381,0.004988,0.005012,0.004959,0.005006,0.004926,0.004919,0.004885,0.004885,0.004865,0.004873,0.004854,0.004838,0.00484,0.004832,0.004805,0.004773,0.004746,0.004733,0.004725,0.004727,0.004739,0.004715,0.004733,0.004731,0.004725,0.004702,"2.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Commercial: Liquid Fuels Subtotal": Reference case,2-AEO2020.20.ref2020-d112119a,"quads",0.86376,0.876751,0.876398,0.879433,0.88068,0.88192,0.883423,0.883667,0.883629,0.883151,0.882749,0.881852,0.881515,0.881483,0.880986,0.880708,0.880529,0.880356,0.880458,0.880477,0.880418,0.88092,0.881359,0.88126,0.881421,0.88179,0.881918,0.882584,0.882978,0.883389,0.883997,0.884784,"0.1%"
Natural Gas,"Energy Use: Commercial: Natural Gas": Reference case,2-AEO2020.21.ref2020-d112119a,"quads",3.634807,3.554287,3.603861,3.622868,3.628811,3.631073,3.624231,3.616985,3.613063,3.614995,3.623016,3.629518,3.64215,3.656593,3.667476,3.676354,3.68768,3.702604,3.714994,3.72663,3.738386,3.752129,3.765759,3.779429,3.793227,3.807992,3.821635,3.834615,3.846842,3.860299,3.873532,3.886637,"0.2%"
Coal,"Energy Use: Commercial: Coal": Reference case,2-AEO2020.22.ref2020-d112119a,"quads",0.01659,0.013321,0.013284,0.013296,0.013218,0.012848,0.012685,0.012728,0.012503,0.01249,0.012533,0.012517,0.01249,0.012372,0.012374,0.012252,0.012331,0.012386,0.012241,0.012365,0.012278,0.01244,0.012276,0.012102,0.011758,0.01169,0.011551,0.011494,0.011392,0.011318,0.01122,0.011116,"-1.3%"
Renewable Energy,"Energy Use: Commercial: Renewable Energy": Reference case,2-AEO2020.23.ref2020-d112119a,"quads",0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.130721,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,0.13072,"0.0%"
Electricity,"Energy Use: Commercial: Electricity": Reference case,2-AEO2020.24.ref2020-d112119a,"quads",4.654231,4.654543,4.743879,4.782892,4.802162,4.821924,4.836518,4.843463,4.856446,4.87926,4.908607,4.928701,4.956039,4.988938,5.019652,5.051256,5.088189,5.125799,5.167351,5.207735,5.251987,5.29199,5.335931,5.382672,5.434738,5.48782,5.545779,5.607224,5.673023,5.742827,5.818857,5.89765,"0.8%"
Delivered Energy,"Energy Use: Commercial: Delivered Energy": Reference case,2-AEO2020.25.ref2020-d112119a,"quads",9.300109,9.229623,9.368141,9.429209,9.455591,9.478486,9.487578,9.487563,9.496361,9.520617,9.557627,9.583309,9.622914,9.670106,9.711208,9.75129,9.799449,9.851865,9.905765,9.957928,10.013789,10.068198,10.126045,10.186181,10.251865,10.320012,10.391603,10.466638,10.544955,10.628554,10.718326,10.810906,"0.5%"
Electricity Related Losses,"Energy Use: Commercial: Electricity Related Losses": Reference case,2-AEO2020.26.ref2020-d112119a,"quads",8.924509,8.793682,8.815925,8.696651,8.553737,8.485632,8.308107,8.161935,8.144042,8.14422,8.163507,8.186034,8.209967,8.226737,8.235822,8.228794,8.251842,8.279752,8.308406,8.330424,8.356441,8.377131,8.419654,8.47297,8.52565,8.594158,8.672244,8.761499,8.847746,8.930398,9.016586,9.117519,"0.1%"
Total,"Energy Use: Commercial: Total": Reference case,2-AEO2020.27.ref2020-d112119a,"quads",18.224617,18.023304,18.184067,18.12586,18.009327,17.964119,17.795685,17.649498,17.640404,17.664837,17.721134,17.769344,17.832882,17.896843,17.947029,17.980083,18.051291,18.131617,18.21417,18.288353,18.37023,18.44533,18.5457,18.659151,18.777515,18.914169,19.063847,19.228138,19.3927,19.558952,19.734913,19.928425,"0.3%"
Industrial,,2-AEO2020.29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquefied Petroleum Gases and Other,"Energy Use: Industrial: Liquefied Petroleum Gases": Reference case,2-AEO2020.30.ref2020-d112119a,"quads",3.1358,3.480001,3.557027,3.651662,3.741946,3.809628,3.858365,3.899375,3.937369,3.981029,4.023897,4.074633,4.117472,4.156711,4.194571,4.234962,4.277963,4.311008,4.344377,4.377522,4.414115,4.452923,4.488671,4.534082,4.571192,4.613534,4.656191,4.705969,4.747298,4.788458,4.838577,4.871342,"1.4%"
Motor Gasoline,"Energy Use: Industrial: Motor Gasoline": Reference case,2-AEO2020.31.ref2020-d112119a,"quads",0.2634,0.2641,0.269955,0.275247,0.277764,0.28147,0.285744,0.290059,0.293212,0.296555,0.300045,0.303598,0.307325,0.310317,0.312698,0.315689,0.318423,0.320713,0.322864,0.325092,0.327138,0.329826,0.332556,0.335072,0.337927,0.340894,0.344042,0.347115,0.350157,0.353114,0.356133,0.358681,"1.0%"
Distillate Fuel Oil,"Energy Use: Industrial: Distillate Fuel Oil": Reference case,2-AEO2020.32.ref2020-d112119a,"quads",1.259954,1.268954,1.269358,1.273027,1.274194,1.282099,1.293255,1.306178,1.316973,1.328918,1.340891,1.354337,1.372317,1.38561,1.397305,1.411782,1.425605,1.437138,1.447979,1.459061,1.468966,1.481869,1.495461,1.508202,1.522967,1.539208,1.556502,1.574244,1.590923,1.606969,1.623567,1.637812,"0.8%"
Residual Fuel Oil,"Energy Use: Industrial: Residual Fuel Oil": Reference case,2-AEO2020.33.ref2020-d112119a,"quads",0.042,0.0395,0.039212,0.04145,0.042018,0.043086,0.044405,0.046792,0.047753,0.048866,0.049675,0.050509,0.050463,0.050683,0.050932,0.051261,0.051319,0.051322,0.05139,0.051448,0.051467,0.051683,0.051836,0.05201,0.052148,0.052207,0.05227,0.052242,0.052353,0.052392,0.052444,0.052283,"0.7%"
Petrochemical Feedstocks,"Energy Use: Industrial: Petrochemical Feedstocks": Reference case,2-AEO2020.34.ref2020-d112119a,"quads",0.6303,0.567,0.63368,0.696617,0.735539,0.772962,0.801915,0.82714,0.849597,0.874477,0.899718,0.926649,0.950898,0.972591,0.993771,1.015933,1.039423,1.058579,1.077548,1.096362,1.116597,1.138273,1.158441,1.18238,1.204208,1.227612,1.251093,1.277771,1.300997,1.324063,1.350241,1.371328,"2.5%"
Other Petroleum,"Energy Use: Industrial: Other Petroleum": Reference case,2-AEO2020.35.ref2020-d112119a,"quads",3.388825,3.199525,3.233984,3.283691,3.27928,3.227673,3.25658,3.313178,3.274195,3.367337,3.38896,3.433487,3.451646,3.47381,3.452407,3.524139,3.549871,3.550128,3.580266,3.611168,3.637443,3.613583,3.643279,3.676953,3.704057,3.736307,3.786139,3.809401,3.847391,3.890691,3.921425,3.987826,"0.5%"
Petroleum and Other Liquids Subtotal,"Energy Use: Industrial: Liquid Fuels Subtotal": Reference case,2-AEO2020.36.ref2020-d112119a,"quads",8.720279,8.819079,9.003216,9.221694,9.35074,9.416918,9.540264,9.682721,9.719101,9.897182,10.003187,10.143213,10.25012,10.349723,10.401684,10.553766,10.662603,10.728889,10.824425,10.920654,11.015726,11.068159,11.170244,11.2887,11.392498,11.509761,11.646239,11.766743,11.88912,12.015686,12.142387,12.279273,"1.1%"
Natural Gas,"Energy Use: Industrial: Natural Gas": Reference case,2-AEO2020.37.ref2020-d112119a,"quads",8.651501,8.961901,9.119812,9.328155,9.523393,9.683498,9.721349,9.696047,9.687585,9.712555,9.778345,9.763814,9.852673,9.950525,9.987814,10.100468,10.202681,10.267257,10.435532,10.529822,10.633471,10.762335,10.894443,11.018012,11.138087,11.273061,11.420024,11.539514,11.722016,11.875455,12.035227,12.135534,"1.1%"
Natural-Gas-to-Liquids Heat and Power,"Energy Use: Industrial: Natural-Gas-to-Liquids Heat and Power": Reference case,2-AEO2020.38.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Lease and Plant Fuel,"Energy Use: Industrial: Lease and Plant Fuel": Reference case,2-AEO2020.39.ref2020-d112119a,"quads",1.911758,1.959219,2.060317,2.152177,2.193848,2.244581,2.307311,2.343771,2.361964,2.382526,2.392183,2.389873,2.398961,2.418214,2.429265,2.448955,2.454799,2.461504,2.451908,2.457285,2.462568,2.504341,2.509403,2.515465,2.522016,2.523464,2.518413,2.520463,2.522964,2.528263,2.529213,2.516428,"0.9%"
Natural Gas to Liquefy Gas for Export,"Energy Use: Industrial: Liquefaction": Reference case,2-AEO2020.40.ref2020-d112119a,"quads",0.174271,0.242099,0.304438,0.32373,0.328008,0.366746,0.455463,0.530939,0.551659,0.573635,0.593099,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,0.603459,0.604715,0.603459,0.603459,"4.1%"
Natural Gas Subtotal,"Energy Use: Industrial: Natural Gas Subtotal": Reference case,2-AEO2020.41.ref2020-d112119a,"quads",10.73753,11.163218,11.484566,11.804062,12.045248,12.294826,12.484123,12.570757,12.601208,12.668716,12.763626,12.757146,12.855093,12.973454,13.020539,13.152882,13.26094,13.333475,13.490899,13.590567,13.699498,13.871391,14.007305,14.136936,14.263562,14.40124,14.541896,14.663436,14.848439,15.008433,15.167899,15.255422,"1.1%"
Metallurgical Coal,"Energy Use: Industrial: Metallurgical Coal": Reference case,2-AEO2020.42.ref2020-d112119a,"quads",0.5954,0.5953,0.529283,0.50609,0.51093,0.499757,0.490165,0.483739,0.476834,0.470476,0.463996,0.459202,0.458072,0.45888,0.461604,0.462487,0.462029,0.463557,0.46419,0.465161,0.465178,0.465081,0.463049,0.463346,0.460625,0.459623,0.458311,0.45635,0.45311,0.45163,0.447912,0.444824,"-0.9%"
Other Industrial Coal,"Energy Use: Industrial: Other Industrial Coal": Reference case,2-AEO2020.43.ref2020-d112119a,"quads",0.533573,0.478756,0.503889,0.527578,0.53984,0.550148,0.558927,0.566059,0.56551,0.564685,0.563441,0.562285,0.554793,0.547774,0.541053,0.534446,0.526342,0.523627,0.521144,0.518706,0.516297,0.514694,0.513208,0.511728,0.510474,0.509589,0.508846,0.508353,0.507785,0.507179,0.506638,0.50594,"-0.2%"
Coal-to-Liquids Heat and Power,"Energy Use: Industrial: Coal-to-Liquids Heat and Power": Reference case,2-AEO2020.45.ref2020-d112119a,"quads",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Net Coal Coke Imports,"Energy Use: Industrial: Net Coal Coke Imports": Reference case,2-AEO2020.46.ref2020-d112119a,"quads",-0.0165,-0.0206,-0.019509,-0.026991,-0.02241,-0.022492,-0.020909,-0.020172,-0.019275,-0.018486,-0.017832,-0.017357,-0.016965,-0.016597,-0.016265,-0.015993,-0.015854,-0.015728,-0.015602,-0.015435,-0.01528,-0.015145,-0.015059,-0.014961,-0.014877,-0.0148,-0.014726,-0.014648,-0.014646,-0.014584,-0.014565,-0.014571,"-0.4%"
Coal Subtotal,"Energy Use: Industrial: Coal Subtotal": Reference case,2-AEO2020.47.ref2020-d112119a,"quads",1.112473,1.053456,1.013663,1.006677,1.028361,1.027412,1.028183,1.029626,1.023069,1.016675,1.009606,1.00413,0.9959,0.990057,0.986392,0.980941,0.972517,0.971456,0.969732,0.968432,0.966194,0.96463,0.961198,0.960113,0.956222,0.954412,0.952431,0.950055,0.94625,0.944225,0.939985,0.936193,"-0.6%"
Biofuels Heat and Coproducts,"Energy Use: Industrial: Biofuels Heat and Coproducts": Reference case,2-AEO2020.48.ref2020-d112119a,"quads",0.90236,0.889303,0.873474,0.86843,0.856749,0.85,0.842719,0.842631,0.845147,0.851838,0.850617,0.854061,0.855437,0.857013,0.858548,0.860185,0.861477,0.864167,0.867164,0.870213,0.87395,0.879242,0.885231,0.890945,0.896643,0.898263,0.900782,0.901143,0.908122,0.915052,0.921984,0.932056,"0.1%"
Renewable Energy,"Energy Use: Industrial: Renewable Energy": Reference case,2-AEO2020.49.ref2020-d112119a,"quads",1.625227,1.544727,1.585964,1.632223,1.659715,1.690901,1.72524,1.760197,1.784893,1.810991,1.837702,1.86502,1.885157,1.899778,1.913775,1.932656,1.949671,1.964821,1.976638,1.990736,2.00179,2.018573,2.037261,2.05294,2.072573,2.095916,2.120906,2.146533,2.171645,2.193146,2.214486,2.234988,"1.0%"
Electricity,"Energy Use: Industrial: Electricity": Reference case,2-AEO2020.50.ref2020-d112119a,"quads",3.2338,3.1894,3.250922,3.330557,3.381623,3.426209,3.467133,3.510113,3.52923,3.561577,3.591841,3.622197,3.642351,3.662549,3.681112,3.705295,3.726877,3.743799,3.768384,3.786215,3.804361,3.828576,3.852952,3.876115,3.898992,3.923168,3.947901,3.970505,3.99388,4.01532,4.035501,4.049404,"0.7%"
Delivered Energy,"Energy Use: Industrial: Delivered Energy": Reference case,2-AEO2020.51.ref2020-d112119a,"quads",26.331671,26.659185,27.211807,27.863644,28.322435,28.706264,29.087662,29.396049,29.502649,29.806978,30.05658,30.245766,30.484058,30.732573,30.862051,31.185726,31.434084,31.606606,31.897242,32.126812,32.361519,32.630569,32.914192,33.205746,33.480488,33.782764,34.110157,34.398411,34.757458,35.091866,35.422245,35.68734,"1.0%"
Electricity Related Losses,"Energy Use: Industrial: Electricity Related Losses": Reference case,2-AEO2020.52.ref2020-d112119a,"quads",6.200826,6.025633,6.041445,6.055896,6.023435,6.029449,5.955796,5.915048,5.918361,5.94481,5.973594,6.016074,6.033766,6.039526,6.039659,6.036144,6.044115,6.047395,6.059054,6.056525,6.053122,6.060572,6.079636,6.101468,6.116475,6.143847,6.173555,6.204064,6.228925,6.244034,6.253196,6.260209,"0.0%"
Total,"Energy Use: Industrial: Total": Reference case,2-AEO2020.53.ref2020-d112119a,"quads",32.532497,32.684818,33.253254,33.91954,34.345871,34.735714,35.043457,35.311096,35.421009,35.751789,36.030174,36.261841,36.517826,36.772099,36.901711,37.22187,37.478199,37.653999,37.956295,38.183338,38.414642,38.691139,38.993828,39.307213,39.596962,39.926613,40.28371,40.602474,40.986382,41.335899,41.675442,41.947548,"0.8%"
Transportation,,2-AEO2020.56.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Use: Transportation: Propane": Reference case,2-AEO2020.57.ref2020-d112119a,"quads",0.007657,0.007739,0.00763,0.007525,0.007446,0.007343,0.007273,0.007201,0.007175,0.007167,0.007179,0.007214,0.007228,0.007274,0.007347,0.007457,0.007568,0.007696,0.007832,0.007994,0.00817,0.00836,0.008578,0.008811,0.009054,0.009309,0.009581,0.009859,0.010165,0.010478,0.010805,0.011143,"1.2%"
Motor Gasoline,"Energy Use: Transportation: Motor Gasoline": Reference case,2-AEO2020.58.ref2020-d112119a,"quads",16.566553,16.510401,16.376961,16.151506,15.835323,15.502654,15.161937,14.898849,14.672598,14.471711,14.289826,14.136779,14.004183,13.867743,13.741726,13.621185,13.503328,13.411298,13.332824,13.267241,13.21577,13.186832,13.168427,13.164875,13.173515,13.191133,13.21362,13.24937,13.294803,13.344034,13.399549,13.464057,"-0.7%"
of which:  E85,"Energy Use: Transportation: E85": Reference case,2-AEO2020.59.ref2020-d112119a,"quads",0.014952,0.019286,0.020542,0.024494,0.023208,0.022737,0.024349,0.024551,0.02409,0.023013,0.022452,0.024862,0.023507,0.023174,0.022591,0.021427,0.019485,0.019928,0.019717,0.018296,0.016495,0.015061,0.014862,0.013187,0.012808,0.01245,0.012251,0.011684,0.008313,0.00788,0.009604,0.009551,"-1.4%"
Jet Fuel,"Energy Use: Transportation: Jet Fuel": Reference case,2-AEO2020.60.ref2020-d112119a,"quads",3.001785,3.032209,3.054923,3.070529,3.0735,3.089457,3.115656,3.140997,3.167796,3.197827,3.227009,3.256884,3.286297,3.317091,3.346837,3.376274,3.404057,3.431457,3.459703,3.487186,3.515426,3.54593,3.57717,3.608658,3.642388,3.677577,3.714741,3.75315,3.793352,3.834187,3.875565,3.917635,"0.9%"
Distillate Fuel Oil,"Energy Use: Transportation: Distillate Fuel Oil": Reference case,2-AEO2020.61.ref2020-d112119a,"quads",6.996237,7.088861,6.908161,6.832785,6.756075,6.73626,6.701828,6.697964,6.656772,6.639288,6.591063,6.521368,6.479736,6.436593,6.399851,6.377115,6.355446,6.350422,6.325991,6.311968,6.294435,6.296762,6.292564,6.303853,6.315585,6.337194,6.345359,6.369557,6.386958,6.398733,6.412324,6.417262,"-0.3%"
Residual Fuel Oil,"Energy Use: Transportation: Residual Fuel Oil": Reference case,2-AEO2020.62.ref2020-d112119a,"quads",0.558961,0.52546,0.551935,0.457677,0.579702,0.591564,0.598997,0.57058,0.559752,0.516427,0.513772,0.560346,0.556565,0.554602,0.549973,0.54774,0.541237,0.498567,0.494719,0.481979,0.475579,0.464238,0.474452,0.451491,0.447706,0.430739,0.444925,0.421671,0.41744,0.414025,0.408959,0.403456,"-1.0%"
Other Petroleum,"Energy Use: Transportation: Other Petroleum": Reference case,2-AEO2020.63.ref2020-d112119a,"quads",0.153939,0.153379,0.152834,0.15226,0.151771,0.151316,0.150861,0.15042,0.15002,0.149661,0.149348,0.14905,0.148757,0.148488,0.148255,0.148102,0.147977,0.147897,0.147854,0.147835,0.147831,0.147837,0.147855,0.147941,0.14803,0.148142,0.148279,0.148422,0.148561,0.148706,0.14884,0.148975,"-0.1%"
Petroleum and Other Liquids Subtotal,"Energy Use: Transportation: Liquid Fuels Subtotal": Reference case,2-AEO2020.64.ref2020-d112119a,"quads",27.285133,27.318048,27.052444,26.672281,26.40382,26.078594,25.736553,25.466013,25.214113,24.982086,24.778196,24.631638,24.482765,24.331791,24.193989,24.077873,23.959618,23.847334,23.768923,23.704205,23.657211,23.649958,23.669046,23.685627,23.736277,23.794094,23.876505,23.95203,24.051281,24.150164,24.256042,24.362528,"-0.4%"
Pipeline and Distribution Fuel Natural Gas,"Energy Use: Transportation: Pipeline Fuel Natural Gas": Reference case,2-AEO2020.65.ref2020-d112119a,"quads",0.67193,0.650566,0.677018,0.683963,0.685109,0.692425,0.69956,0.704001,0.697443,0.697381,0.699145,0.693106,0.694871,0.697834,0.70106,0.709088,0.712518,0.719496,0.727418,0.731698,0.738409,0.744276,0.747968,0.756825,0.762908,0.768945,0.774331,0.780825,0.788061,0.799276,0.807187,0.816307,"0.6%"
Compressed / Liquefied Natural Gas,"Energy Use: Transportation: Natural Gas": Reference case,2-AEO2020.66.ref2020-d112119a,"quads",0.101006,0.10614,0.136579,0.139533,0.132661,0.138034,0.140787,0.147437,0.154828,0.16809,0.18084,0.179845,0.19285,0.204965,0.217292,0.229017,0.243087,0.26398,0.277436,0.293499,0.309641,0.327752,0.342705,0.36574,0.383896,0.405542,0.420247,0.444702,0.463248,0.484142,0.506511,0.530041,"5.5%"
Hydrogen,"Energy Use: Transportation: Hydrogen": Reference case,2-AEO2020.67.ref2020-d112119a,"quads",0.000286,0.000411,0.000503,0.000594,0.000682,0.000769,0.000855,0.000943,0.001031,0.001122,0.001214,0.001309,0.001405,0.001502,0.001601,0.001706,0.001816,0.001929,0.002049,0.002176,0.002307,0.002447,0.002602,0.002758,0.00292,0.003082,0.003248,0.00342,0.003598,0.003783,0.003977,0.004177,"9.0%"
Electricity,"Energy Use: Transportation: Electricity": Reference case,2-AEO2020.68.ref2020-d112119a,"quads",0.047805,0.055243,0.064379,0.073308,0.081805,0.09044,0.099474,0.108996,0.118685,0.128673,0.139132,0.15046,0.162832,0.176171,0.19109,0.205795,0.219289,0.233592,0.248206,0.263029,0.278136,0.293502,0.308637,0.323775,0.339061,0.354146,0.36897,0.383741,0.398831,0.413715,0.428717,0.443804,"7.5%"
Delivered Energy,"Energy Use: Transportation: Delivered Energy": Reference case,2-AEO2020.69.ref2020-d112119a,"quads",28.106161,28.130409,27.930925,27.569681,27.304079,27.000259,26.677229,26.427387,26.186102,25.977352,25.798529,25.656357,25.534725,25.412264,25.305033,25.22348,25.136328,25.06633,25.024033,24.994606,24.985704,25.017935,25.070959,25.134724,25.225061,25.325808,25.4433,25.564718,25.705019,25.85108,26.002436,26.156857,"-0.2%"
Electricity Related Losses,"Energy Use: Transportation: Electricity Related Losses": Reference case,2-AEO2020.70.ref2020-d112119a,"quads",0.091667,0.104368,0.119641,0.133294,0.145713,0.159156,0.170876,0.183673,0.19903,0.214775,0.23139,0.249897,0.269741,0.290505,0.313525,0.335252,0.355634,0.377323,0.399082,0.420748,0.442542,0.464609,0.487004,0.509661,0.531896,0.554608,0.576978,0.59961,0.622023,0.643348,0.664317,0.686102,"6.7%"
